,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,MLS#,LATITUDE,LONGITUDE,FILENAME,COLLECTION,NEIGHBORHOOD
10600,2018-06-25,Condo/Co-op,23314 Sesame St Unit N,Torrance,CA,90502.0,255000,1.0,1.0,639.0,296172.0,1973.0,579.0,399.0,276.0,SB18107835,33.8132201,-118.2885699,carson_condos.csv,1,Carson
16756,2018-06-25,Condo/Co-op,23314 Sesame St Unit N,Torrance,CA,90502.0,255000,1.0,1.0,639.0,296172.0,1973.0,591.0,399.0,276.0,SB18107835,33.8132201,-118.2885699,torrance_condos-0_to_500K.csv,2,Torrance
10630,2019-07-24,Condo/Co-op,23314 Sesame St Unit Q,Torrance,CA,90502.0,275000,1.0,1.0,650.0,296172.0,1973.0,185.0,423.0,275.0,SB19133101,33.8132201,-118.2885699,carson_condos.csv,1,Carson
16556,2019-07-24,Condo/Co-op,23314 Sesame St Unit Q,Torrance,CA,90502.0,275000,1.0,1.0,650.0,296172.0,1973.0,197.0,423.0,275.0,SB19133101,33.8132201,-118.2885699,torrance_condos-0_to_500K.csv,2,Torrance
16652,2018-06-13,Condo/Co-op,23316 Marigold Ave Unit R202,Torrance,CA,90502.0,421000,3.0,2.0,1066.0,209768.0,1973.0,603.0,395.0,332.0,PV18054979,33.813744,-118.2949,torrance_condos-0_to_500K.csv,2,Torrance
10577,2018-06-13,Condo/Co-op,23316 Marigold Ave Unit R202,Torrance,CA,90502.0,421000,3.0,2.0,1066.0,209768.0,1973.0,591.0,395.0,332.0,PV18054979,33.813744,-118.2949,carson_condos.csv,1,Carson
10723,2018-11-20,Condo/Co-op,23318 Marigold Ave Unit Q103,Torrance,CA,90502.0,435000,3.0,2.0,1066.0,209768.0,1973.0,431.0,408.0,359.0,PV18206845,33.813744,-118.2949,carson_condos.csv,1,Carson
16549,2018-11-20,Condo/Co-op,23318 Marigold Ave Unit Q103,Torrance,CA,90502.0,435000,3.0,2.0,1066.0,209768.0,1973.0,443.0,408.0,359.0,PV18206845,33.813744,-118.2949,torrance_condos-0_to_500K.csv,2,Torrance
16707,2019-01-24,Condo/Co-op,23320 Marigold Ave Unit P202,Torrance,CA,90502.0,320000,2.0,1.0,796.0,209768.0,1973.0,378.0,402.0,294.0,SB18285768,33.813744,-118.2949,torrance_condos-0_to_500K.csv,2,Torrance
10553,2019-01-24,Condo/Co-op,23320 Marigold Ave Unit P202,Torrance,CA,90502.0,320000,2.0,1.0,796.0,209768.0,1973.0,366.0,402.0,294.0,SB18285768,33.813744,-118.2949,carson_condos.csv,1,Carson
16735,2019-06-14,Condo/Co-op,23326 S Vermont Ave,Torrance,CA,90502.0,440000,3.0,2.0,1228.0,182487.0,1974.0,237.0,358.0,305.0,PW19091678,33.813092700000006,-118.28996869999999,torrance_condos-0_to_500K.csv,2,Torrance
10509,2019-06-14,Condo/Co-op,23326 S Vermont Ave,Torrance,CA,90502.0,440000,3.0,2.0,1228.0,182487.0,1974.0,225.0,358.0,305.0,PW19091678,33.813092700000006,-118.28996869999999,carson_condos.csv,1,Carson
