SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,PRICE,ZIP OR POSTAL CODE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,MLS#,LATITUDE,LONGITUDE,NEIGHBORHOOD
2019-04-29,Single Family Residential,15316 S Wilton Pl,Gardena,640000,90249,3.0,1.0,1105.0,5001.0,1951,271.0,579.0,0.0,SB19056229,33.8923652,-118.314163,Gardena
2018-10-05,Single Family Residential,2209 W 152Nd St,Gardena,608000,90249,3.0,1.5,1024.0,5652.0,1940,477.0,594.0,0.0,SB18195741,33.8939965,-118.31822720000001,Gardena
2018-09-05,Single Family Residential,13520 Spinning Ave,Gardena,585000,90249,3.0,2.0,1144.0,5301.0,1956,507.0,511.0,0.0,18-347480,33.9082682,-118.31868390000001,Gardena
2019-05-13,Single Family Residential,13816 S Wilkie Ave,Gardena,612000,90249,3.0,1.75,1564.0,6016.0,1956,257.0,391.0,0.0,PW19077687,33.9057375,-118.32288500000001,Gardena
2019-04-26,Single Family Residential,13228 Arcturus Ave,Gardena,550000,90249,4.0,1.75,1269.0,5594.0,1956,274.0,433.0,0.0,SB19047748,33.911413399999994,-118.3210128,Gardena
2018-04-17,Single Family Residential,2023 W 146Th St,Gardena,540000,90249,3.0,2.0,1324.0,5201.0,1951,648.0,408.0,0.0,WS18032651,33.899613200000005,-118.31434569999999,Gardena
2018-09-27,Single Family Residential,14609 Spinning Ave,Gardena,549000,90249,3.0,1.5,1015.0,5372.0,1952,485.0,541.0,0.0,PW18193210,33.898892100000005,-118.3190035,Gardena
2019-04-17,Single Family Residential,2717 W 146Th St,Gardena,612000,90249,3.0,1.0,1003.0,5188.0,1953,283.0,610.0,0.0,DW19049114,33.8992073,-118.323844,Gardena
2018-07-24,Single Family Residential,2027 W 147Th St,Gardena,660000,90249,3.0,2.0,1384.0,5301.0,1956,550.0,477.0,0.0,PW18136150,33.8981309,-118.31466529999999,Gardena
2019-01-18,Single Family Residential,14711 Parron Ave,Gardena,605000,90249,2.0,1.5,2120.0,7422.0,1957,372.0,285.0,0.0,SB18280812,33.897711799999996,-118.3154582,Gardena
2018-04-24,Single Family Residential,14911 Van Buren Ave,Gardena,685000,90247,3.0,2.0,1400.0,8551.0,1924,641.0,489.0,0.0,18-317760,33.896223,-118.2974027,Gardena
2018-10-17,Single Family Residential,1226 W 145Th Pl,Gardena,635000,90247,4.0,2.0,1625.0,5868.0,1956,465.0,391.0,0.0,PW18142523,33.899359499999996,-118.2967176,Gardena
2018-06-27,Single Family Residential,14419 Stonecreek Ln,Gardena,560000,90247,3.0,3.25,1911.0,8610.0,2005,577.0,293.0,141.0,SB18126641,33.9005285,-118.2972282,Gardena
2019-05-08,Single Family Residential,1249 W 139Th St #107,Gardena,552500,90247,3.0,2.0,1522.0,43041.0,2013,262.0,363.0,150.0,SB19052523,33.9062119,-118.29784309999998,Gardena
2019-04-29,Single Family Residential,1053 W 133Rd St,Gardena,525000,90247,3.0,1.0,1546.0,5600.0,1947,271.0,340.0,0.0,SR19071218,33.9120675,-118.2937261,Gardena
2019-03-12,Single Family Residential,13412 S Budlong Ave,Gardena,540000,90247,3.0,2.0,1621.0,5594.0,1947,319.0,333.0,0.0,SB19011652,33.910433700000006,-118.29610100000001,Gardena
2019-01-04,Single Family Residential,13108 S Catalina Ave,Gardena,430000,90247,2.0,1.0,848.0,5702.0,1950,386.0,507.0,0.0,818004670,33.913389,-118.295162,Gardena
2019-05-10,Single Family Residential,14919 S Normandie Ave #31,Gardena,200000,90247,1.0,1.0,648.0,41163.0,1961,260.0,309.0,189.0,SB19063052,33.8959885,-118.3009909,Gardena
2019-05-29,Single Family Residential,1534 W 154Th St,Gardena,580000,90247,3.0,1.0,1066.0,6738.0,1948,241.0,544.0,0.0,SB19056395,33.891751299999996,-118.30412749999999,Gardena
2018-07-06,Single Family Residential,2928 W 129Th Pl,Gardena,550000,90249,3.0,2.0,1370.0,5177.0,1955,568.0,401.0,0.0,PW18114961,33.9144572,-118.3250312,Gardena
2018-04-25,Single Family Residential,13332 S Saint Andrews Pl,Gardena,635000,90249,3.0,2.0,1312.0,5306.0,1956,640.0,484.0,0.0,PW18069464,33.910107700000005,-118.311149,Gardena
2018-04-10,Single Family Residential,13401 Casimir Ave,Gardena,607000,90249,3.0,2.0,1390.0,5601.0,1956,655.0,437.0,0.0,PW18050076,33.910499200000004,-118.32242839999999,Gardena
2018-02-21,Single Family Residential,15246 Spinning Ave,Gardena,575000,90249,3.0,1.75,1464.0,5351.0,1940,703.0,393.0,0.0,SB17254435,33.8924454,-118.31850120000001,Gardena
2018-03-15,Single Family Residential,15504 Cimarron Ave,Gardena,545000,90249,3.0,2.0,1155.0,5138.0,1953,681.0,472.0,0.0,18-305274,33.8899914,-118.315807,Gardena
2018-06-21,Single Family Residential,15229 Cimarron Ave,Gardena,527000,90249,2.0,1.0,853.0,5000.0,1950,583.0,618.0,0.0,SB18109523,33.8929105,-118.316275,Gardena
2018-05-15,Single Family Residential,14411 S Budlong Ave,Gardena,539000,90247,3.0,1.75,1176.0,6921.0,1953,620.0,458.0,0.0,SB18074103,33.90071029999999,-118.2963057,Gardena
2018-12-11,Single Family Residential,15033 Sutro Ave,Gardena,566000,90249,2.0,1.0,837.0,5000.0,1942,410.0,676.0,0.0,SB18267895,33.8952794,-118.3232047,Gardena
2018-05-11,Single Family Residential,2928 W 132Nd St,Gardena,585000,90249,3.0,1.75,1491.0,5335.0,1955,624.0,392.0,0.0,PV18077023,33.912387,-118.325106,Gardena
2018-04-26,Single Family Residential,12916 S Manhattan Pl,Gardena,511250,90249,4.0,2.0,1890.0,6830.0,1955,639.0,271.0,0.0,RS17271282,33.914932,-118.31028130000001,Gardena
2018-09-14,Single Family Residential,13312 Gramercy Pl,Gardena,670000,90249,3.0,2.0,1632.0,5305.0,1956,498.0,411.0,0.0,CV18192648,33.9108483,-118.31283870000001,Gardena
2018-12-11,Single Family Residential,15404 S Saint Andrews Pl,Gardena,620000,90249,3.0,2.0,1336.0,6918.0,1954,410.0,464.0,0.0,SB18261521,33.8912792,-118.31128600000001,Gardena
